Time (s),Pressure (mmHg)
31.401050329208374,66.08
31.450418710708618,66.12
31.499826192855835,64.79
31.54944086074829,64.06
31.59876561164856,63.46
31.648083448410034,62.88
31.69749665260315,62.44
31.746925354003906,63.34
31.79576277732849,63.65
31.845133781433105,63.79
31.894533395767212,62.62
31.94371223449707,62.04
31.99342155456543,61.61
32.04247713088989,61.16
32.235607862472534,60.76
32.2359836101532,61.65
32.2362859249115,61.96
32.23957705497742,62.01
32.28945207595825,60.78
32.338436126708984,60.11
32.387648820877075,59.56
32.43696308135986,59.02
32.4863498210907,58.61
32.53577280044556,59.46
32.58497476577759,59.73
32.63437294960022,59.75
32.68381953239441,58.53
32.73296356201172,57.92
32.78238034248352,57.47
32.83185005187988,57.05
32.881035566329956,56.78
32.93024921417236,57.74
32.97999143600464,58.07
33.029200315475464,58.14
33.0786247253418,57.0
33.1280460357666,56.37
33.17727828025818,55.86
33.22726321220398,55.37
33.27576446533203,55.0
33.32537627220154,55.82
33.374910831451416,56.1
33.424147844314575,56.15
33.47333741188049,55.04
33.52299475669861,54.45
33.57212281227112,54.01
33.62129855155945,53.62
33.67081689834595,53.35
33.71986937522888,54.22
33.76910042762756,54.55
33.81824779510498,54.63
33.867785930633545,53.52
33.9174222946167,52.91
33.96690607070923,52.41
34.01608681678772,51.94
34.065590620040894,51.58
34.114747762680054,52.36
34.164201498031616,52.63
34.21334147453308,52.68
34.2627899646759,51.64
34.312103509902954,51.08
34.36169457435608,50.65
34.41081738471985,50.28
34.460203647613525,50.04
34.50934553146362,50.87
34.55894660949707,51.23
34.608532667160034,51.35
34.657182693481445,50.37
34.70690608024597,49.83
34.75672793388367,49.39
34.80631446838379,48.98
34.85501480102539,48.67
34.90400409698486,49.42
34.953163623809814,49.7
35.00264930725098,49.77
35.05254364013672,48.79
35.10205626487732,48.26
35.151832818984985,47.83
35.19995427131653,47.42
35.24935221672058,47.13
35.29858446121216,47.91
35.348016023635864,48.25
35.39712858200073,48.4
35.44667172431946,47.53
35.49591612815857,47.08
35.54532432556152,46.68
35.5945782661438,46.28
35.64401698112488,45.97
35.69325137138367,46.65
35.74269723892212,46.9
35.79212403297424,46.96
35.84149193763733,46.05
35.89073896408081,45.55
35.94009327888489,45.14
35.98950982093811,44.76
36.03838562965393,44.46
36.08814716339111,45.12
36.137356996536255,45.39
36.18680500984192,45.5
36.23631000518799,44.64
36.285836696624756,44.19
36.33490800857544,43.82
36.384490728378296,43.44
36.43370842933655,43.14
36.48310422897339,43.78
36.532341718673706,44.02
36.58198523521423,44.08
36.63132309913635,43.23
36.68051290512085,42.77
36.730106830596924,42.4
36.77904725074768,42.04
36.82837891578674,41.8
36.87783074378967,42.47
36.92714548110962,42.76
36.97675013542175,42.89
37.02567720413208,42.13
37.075165033340454,41.72
37.123910903930664,41.37
37.173436641693115,41.03
37.22258019447327,40.77
37.27333045005798,41.38
37.32131385803223,41.61
37.370755195617676,41.67
37.42010045051575,40.85
37.469528675079346,40.4
37.519009828567505,40.04
37.56824231147766,39.72
37.617555141448975,39.52
37.666967153549194,40.18
37.71618342399597,40.48
37.76562762260437,40.61
37.81487560272217,39.87
37.86426544189453,39.46
37.9136917591095,39.12
37.9629111289978,38.8
38.01234674453735,38.56
38.06175184249878,39.16
38.11114692687988,39.4
38.16020703315735,39.46
38.209580421447754,38.72
38.259145736694336,38.31
38.30815577507019,37.99
38.35759472846985,37.7
38.40674877166748,37.52
38.456040382385254,38.15
38.50651574134827,38.43
38.55553150177002,38.55
38.604676961898804,37.87
38.654032945632935,37.49
38.703309774398804,37.18
38.752622842788696,36.89
38.801740646362305,36.66
38.85132694244385,37.22
38.90104818344116,37.43
38.9499990940094,37.49
38.99964189529419,36.77
39.048619747161865,36.38
39.0980486869812,36.07
39.14774703979492,35.8
39.196823835372925,35.63
39.2462694644928,36.23
39.295350790023804,36.49
39.34471940994263,36.6
39.393747091293335,35.93
39.44303560256958,35.57
39.49238634109497,35.28
39.5417799949646,34.99
39.59133434295654,34.79
39.640398025512695,35.32
39.68973112106323,35.51
39.73911738395691,35.57
39.788471937179565,34.9
39.83785343170166,34.54
39.88741493225098,34.26
39.936527490615845,34.03
39.985944986343384,33.88
40.03511309623718,34.45
40.0845730304718,34.71
40.13383364677429,34.83
40.183167695999146,34.21
40.23255014419556,33.89
40.2818648815155,33.64
40.3313090801239,33.4
40.380563735961914,33.22
40.42982077598572,33.73
40.479217290878296,33.92
40.52861523628235,33.96
40.57783508300781,33.31
40.627265214920044,32.96
40.676692485809326,32.69
40.72598123550415,32.44
40.775174140930176,32.27
40.82484579086304,32.81
40.87375497817993,33.06
40.92317843437195,33.17
40.97232413291931,32.61
41.02202081680298,32.31
41.071338176727295,32.06
41.12083673477173,31.81
41.17019486427307,31.63
41.21959328651428,32.1
41.268776178359985,32.28
41.31800723075867,32.33
41.36731505393982,31.72
41.41681981086731,31.39
41.46607732772827,31.13
41.515798568725586,30.88
41.564730644226074,30.7
41.61405324935913,31.15
41.663459062576294,31.31
41.71284484863281,31.36
41.76201272010803,30.78
41.811771631240845,30.48
41.86063551902771,30.26
